crd41_id_user_disciplina,importsequencenumber,crd41_name,statuscode,statecode,timezoneruleversionnumber,crd41_user_disciplinaid,utcconversiontimezonecode,versionnumber,owningbusinessunit,crd41_user_disciplina_disciplina,crd41_user_disciplina_user
1000,,Redes de Comunicação I - P1,Active,Active,,ea4009aa-3b69-ea11-a811-000d3a249077,,1024560,18157791-aa5a-ea11-a811-000d3a2c3a38,5362338f-2d62-ea11-a811-000d3a249077,f44044ae-8363-ea11-a814-000d3a221cd4
1001,,Estruturas de Dados - P4,Active,Active,,115d74d3-3b69-ea11-a811-000d3a249077,,1024559,18157791-aa5a-ea11-a811-000d3a2c3a38,6e62338f-2d62-ea11-a811-000d3a249077,2817e057-2158-46da-9c5f-19a285a02fab
1002,,Programação para Dispositivos Móveis - P2,Active,Active,,9c3c77e6-3b69-ea11-a811-000d3a249077,,1024557,18157791-aa5a-ea11-a811-000d3a2c3a38,8f62338f-2d62-ea11-a811-000d3a249077,2817e057-2158-46da-9c5f-19a285a02fab
